song_id,song_name,song_duration,song_url,song_popularity,song_added,album_id,artist_id
1EWsVHU4FNAdtN4R8FETag,Push The Feeling On - Mk Dub Revisited Edit,243160,https://open.spotify.com/track/1EWsVHU4FNAdtN4R8FETag,68,2023-07-14 10:06:53,5JVyNX3e2hGoOttoe7B8QL,1gALaWbNDnwS2ECV09sn2A
3vSn1frPgFcRXrjWOfhMLl,Be My Lover,240866,https://open.spotify.com/track/3vSn1frPgFcRXrjWOfhMLl,68,2023-07-14 10:06:53,18INLUvzq7lcQUrdaqtgIN,488v7rQzthLNK22r0UvMie
37tzoWY1ubBQKGXiWdO5Qv,Where Do You Go,272093,https://open.spotify.com/track/37tzoWY1ubBQKGXiWdO5Qv,68,2023-07-14 10:06:53,5CQHiljabLGvn72iQk0wsZ,2tUGlReCZRMoRgl0IS79i3
7voHUmPNDuYZ1SW1mwRu26,No Limit,224220,https://open.spotify.com/track/7voHUmPNDuYZ1SW1mwRu26,67,2023-07-14 10:06:53,22s9JNTNHLw9e5wwxKdcF0,18JD8DVlD1fakDAw7E9LFC
4Fqm5rqB0WMx0hPOwgRjFr,Dreams (Will Come Alive),264000,https://open.spotify.com/track/4Fqm5rqB0WMx0hPOwgRjFr,67,2023-07-14 10:06:53,3us11hQQJX1JXSIOz98bGG,5wsBGjgRsASMggXLPF7pYm
0ZqveF2rEFlz2oqF2xrriP,The Riddle,285426,https://open.spotify.com/track/0ZqveF2rEFlz2oqF2xrriP,67,2023-07-14 10:06:53,5aSbB0dVq5o7N5eSfnexjV,1OAjDaKgg00KCUYqDe68un
4l2ljvyXOCVNbD5ff7NpM7,"I Like To Move It (feat. The Mad Stuntman) ( Erick ""More"" Album Mix)",230760,https://open.spotify.com/track/4l2ljvyXOCVNbD5ff7NpM7,67,2023-07-14 10:06:53,4scvdAWWY9lXFoRL7Bfqff,4AXX8UN3xaPrxHSqrgE3Ta
1CgbwsrNDlFrRuk2ebQ7zr,9Pm (Till I Come),193880,https://open.spotify.com/track/1CgbwsrNDlFrRuk2ebQ7zr,67,2023-07-14 10:06:53,4DfD9bqzlfSbEf5kWgufPk,7jZM5w05mGhw6wTB1okhD9
4IiKITgHYaHrF1zUlcTyVH,2 Times - Original,230933,https://open.spotify.com/track/4IiKITgHYaHrF1zUlcTyVH,67,2023-07-14 10:06:53,0pAY6od68ZZOgxNWwSOHlv,1EN7GOzx8aDpiIbVVmQaaC
2foOeJLKSvepjHEkb4NR8N,Think About the Way,260973,https://open.spotify.com/track/2foOeJLKSvepjHEkb4NR8N,65,2023-07-14 10:06:53,3fSQDORWIQuhjPWZOptkML,5wlyJXaam6QmyDn8qBLZx8
6EBDmMZBQkWrj7jWlGhFU1,Doctor Jones,203440,https://open.spotify.com/track/6EBDmMZBQkWrj7jWlGhFU1,65,2023-07-14 10:06:53,3hHmYc6mrl6NkmRW1ZwYvm,6kBjAFKyd0he7LiA5GQ3Gz
0JXXm3RqxU8EKzX4P8M0n3,More And More - Single Version,253573,https://open.spotify.com/track/0JXXm3RqxU8EKzX4P8M0n3,64,2023-07-14 10:06:53,01ChjoiBlN7bBmsvrzuzlo,3El2sJgqTWkg1kkyHHAEu4
3pEuO9J2MTEmec8kUfYYvl,Another Night,236933,https://open.spotify.com/track/3pEuO9J2MTEmec8kUfYYvl,64,2023-07-14 10:06:53,0m4EUHpp4mVnV8AWHT7T7x,2vRfKzjQYJQd67X8x49MOh
6trzHhvr6xqYJkNnbWwXz2,We're Going To Ibiza!,217539,https://open.spotify.com/track/6trzHhvr6xqYJkNnbWwXz2,64,2023-07-14 10:06:53,2hy9sLDt7IVAvJRGVdzZnx,0cwmNvclzPd8mQnoHuIksj
0FkLMOUTkSTPSAYkIXQ579,L'amour Toujours (Small Mix),242053,https://open.spotify.com/track/0FkLMOUTkSTPSAYkIXQ579,64,2023-07-14 10:06:53,3dvjLo2u1kao2ikKIJa6KP,1OAjDaKgg00KCUYqDe68un
55vAraLCIsYMnakMHUUgvB,Rhythm Is a Dancer (12'' Version),316138,https://open.spotify.com/track/55vAraLCIsYMnakMHUUgvB,63,2023-07-14 10:06:53,3q1JrnU58iasGeb0etrpK7,2FrKQPjJe4pVMZOgm0ESOx
71Cid4UeolaHRzdbmMDAVb,Get A Way,226773,https://open.spotify.com/track/71Cid4UeolaHRzdbmMDAVb,63,2023-07-14 10:06:53,0DtX7zwNKLUtDWpDFHRVsG,6zkbUEItDv8gNXeO5WkkNX
3UPBOL5UtCZmJRwioMkfLD,Encore Une Fois - Future Breeze Edit,221160,https://open.spotify.com/track/3UPBOL5UtCZmJRwioMkfLD,63,2023-07-14 10:06:53,2YBkamwn6VqpPO2wOfDVjS,5XTxV2ifoYkmNb13Gb6cKz
6bXFXDYcwHiuvW1IDayCPA,The Summer Is Magic (Radio Mix),236666,https://open.spotify.com/track/6bXFXDYcwHiuvW1IDayCPA,63,2023-07-14 10:06:53,5VE3kQMUhC8dqhBziRsQ28,6zZWFyAqVLEWelkVuQRUCz
1ZMrT3IGGyTCvZg4Ijuxzs,Let the Dream Come True,241066,https://open.spotify.com/track/1ZMrT3IGGyTCvZg4Ijuxzs,63,2023-07-14 10:06:53,4pjPDN9F3qcR4Mug9VAPii,14dmbYen0AciYxu5n4Fkpd
5HvLxMeai31mM560lrIITQ,Missing - Todd Terry Club Mix,249533,https://open.spotify.com/track/5HvLxMeai31mM560lrIITQ,60,2023-07-14 10:06:53,0WQmpiDN4YZhPRVR3JRjRR,13ccXrK7AmXb4TddMkE7jy
557q3cfw95ChPhoupTVUUZ,Back in My Life,209803,https://open.spotify.com/track/557q3cfw95ChPhoupTVUUZ,60,2023-07-14 10:06:53,7wyEph8JrTyNFNPmRCu3pU,2tbvDi9eXf9XXp06LupkED
2pjj239FG6qY3tj6hhjxeC,It's a Rainy Day,255400,https://open.spotify.com/track/2pjj239FG6qY3tj6hhjxeC,60,2023-07-14 10:06:53,3fSQDORWIQuhjPWZOptkML,5wlyJXaam6QmyDn8qBLZx8
