artist_id,artist_names,external_url
6tsRo8ErXzpHk3tQeH6GBW,Black Box,https://open.spotify.com/artist/6tsRo8ErXzpHk3tQeH6GBW
6uGKydhYXrVOEXM6QbVzyH,Amber,https://open.spotify.com/artist/6uGKydhYXrVOEXM6QbVzyH
0LhHRmSd1EYM5QdNeNnCoQ,Darude,https://open.spotify.com/artist/0LhHRmSd1EYM5QdNeNnCoQ
4u78tFtzvcrrs8kzkXsW4r,"Dune, Froning",https://open.spotify.com/artist/4u78tFtzvcrrs8kzkXsW4r
26T6b8maqEVltcmE4kSDUl,Corona,https://open.spotify.com/artist/26T6b8maqEVltcmE4kSDUl
6ja9fzugcFkIEIXRw3Ie1E,French Affair,https://open.spotify.com/artist/6ja9fzugcFkIEIXRw3Ie1E
2sd9Q3r0Jhqpe3w9WVuG43,Crystal Waters,https://open.spotify.com/artist/2sd9Q3r0Jhqpe3w9WVuG43
5wsBGjgRsASMggXLPF7pYm,2 Brothers On The 4th Floor,https://open.spotify.com/artist/5wsBGjgRsASMggXLPF7pYm
76JYFj8E2jcib0XIrnWR6E,Masterboy,https://open.spotify.com/artist/76JYFj8E2jcib0XIrnWR6E
14dmbYen0AciYxu5n4Fkpd,DJ BoBo,https://open.spotify.com/artist/14dmbYen0AciYxu5n4Fkpd
2tbvDi9eXf9XXp06LupkED,Alice Deejay,https://open.spotify.com/artist/2tbvDi9eXf9XXp06LupkED
57wcrAkVrpq3DyUqt6S8Sg,Magic Affair,https://open.spotify.com/artist/57wcrAkVrpq3DyUqt6S8Sg
488v7rQzthLNK22r0UvMie,La Bouche,https://open.spotify.com/artist/488v7rQzthLNK22r0UvMie
2MIKLLJyOv1o5u49KRbfH7,"Jam & Spoon, Plavka",https://open.spotify.com/artist/2MIKLLJyOv1o5u49KRbfH7
14dmbYen0AciYxu5n4Fkpd,DJ BoBo,https://open.spotify.com/artist/14dmbYen0AciYxu5n4Fkpd
6BkcAbUkfIBM4XudxieMq8,Dr. Alban,https://open.spotify.com/artist/6BkcAbUkfIBM4XudxieMq8
5XTxV2ifoYkmNb13Gb6cKz,"Sash!, La Trec",https://open.spotify.com/artist/5XTxV2ifoYkmNb13Gb6cKz
4PTTDM08OI9jnPTOZ7QRn1,Mark 'Oh,https://open.spotify.com/artist/4PTTDM08OI9jnPTOZ7QRn1
1QYMj6ouUhi6yis1HE8M68,Urban Cookie Collective,https://open.spotify.com/artist/1QYMj6ouUhi6yis1HE8M68
4u78tFtzvcrrs8kzkXsW4r,Dune,https://open.spotify.com/artist/4u78tFtzvcrrs8kzkXsW4r
3El2sJgqTWkg1kkyHHAEu4,Captain Hollywood Project,https://open.spotify.com/artist/3El2sJgqTWkg1kkyHHAEu4
7KBkgunlONG7LPxs93pgpp,Mr. President,https://open.spotify.com/artist/7KBkgunlONG7LPxs93pgpp
