album_id,album_name,release_date,album_total_tracks,album_url
4pjPDN9F3qcR4Mug9VAPii,There Is a Party,1994-10-28,14,https://open.spotify.com/album/4pjPDN9F3qcR4Mug9VAPii
0WQmpiDN4YZhPRVR3JRjRR,Amplified Heart,1994-06-13,11,https://open.spotify.com/album/0WQmpiDN4YZhPRVR3JRjRR
7wyEph8JrTyNFNPmRCu3pU,Who Needs Guitars Anyway?,2000-10-01,14,https://open.spotify.com/album/7wyEph8JrTyNFNPmRCu3pU
3fSQDORWIQuhjPWZOptkML,Ice 'n' Green,1994-01-01,15,https://open.spotify.com/album/3fSQDORWIQuhjPWZOptkML
3MLXp4rTGt1USufyODvXuz,Sex & Violins,1995-04-03,13,https://open.spotify.com/album/3MLXp4rTGt1USufyODvXuz
6r4vIr4aUsK00mGHDiQkrl,Dreamland,1990,9,https://open.spotify.com/album/6r4vIr4aUsK00mGHDiQkrl
5Uu4tVZ7B5NdpKxXa9JrGA,This Is Your Night,1996-11-26,14,https://open.spotify.com/album/5Uu4tVZ7B5NdpKxXa9JrGA
0SHWgw0LPDs37Go6oPdaqp,Sandstorm,1999-01-01,3,https://open.spotify.com/album/0SHWgw0LPDs37Go6oPdaqp
5hAcH6CTDKGj43pMhp4iwR,Dune,1995-08-01,13,https://open.spotify.com/album/5hAcH6CTDKGj43pMhp4iwR
5ooTXuDOxCNohug76VGayS,The Rhythm of the Night,1995,1,https://open.spotify.com/album/5ooTXuDOxCNohug76VGayS
0ZUU0rETCIdO13CCmQnKfr,Belle Epoque,2008-07-18,11,https://open.spotify.com/album/0ZUU0rETCIdO13CCmQnKfr
7MtJHdiKmt3Gbus6oyXhy1,Surprise,1991-01-01,9,https://open.spotify.com/album/7MtJHdiKmt3Gbus6oyXhy1
3us11hQQJX1JXSIOz98bGG,Dreams,1994-01-01,13,https://open.spotify.com/album/3us11hQQJX1JXSIOz98bGG
73rwjoMZxrGQdbe5rPK7EY,Feel the heat of the night,2006-01-23,3,https://open.spotify.com/album/73rwjoMZxrGQdbe5rPK7EY
4pjPDN9F3qcR4Mug9VAPii,There Is a Party,1994-10-28,14,https://open.spotify.com/album/4pjPDN9F3qcR4Mug9VAPii
7wyEph8JrTyNFNPmRCu3pU,Who Needs Guitars Anyway?,2000-10-01,14,https://open.spotify.com/album/7wyEph8JrTyNFNPmRCu3pU
6XlL7z7CWAcyVa3RpSRsMb,Omen - The Story Continues,2008-04-08,13,https://open.spotify.com/album/6XlL7z7CWAcyVa3RpSRsMb
18INLUvzq7lcQUrdaqtgIN,Best Of La Bouche feat. Melanie Thornton (feat. Melanie Thornton),2003-03-28,20,https://open.spotify.com/album/18INLUvzq7lcQUrdaqtgIN
24srMCTo4eOojmFVk9iLdt,Tripomatic Fairytales 2001 (Deluxe Edition),1993-04-20,20,https://open.spotify.com/album/24srMCTo4eOojmFVk9iLdt
4R3t81cmGUQrTRFXTw7iI1,Celebration,2002-03-25,31,https://open.spotify.com/album/4R3t81cmGUQrTRFXTw7iI1
5DqnXBdlgQl0RqhuwHQSzd,Look Who's Talking,1993-03-29,13,https://open.spotify.com/album/5DqnXBdlgQl0RqhuwHQSzd
1olrz5rnUp5iYb1KEztPVU,Stay,1997-03-28,10,https://open.spotify.com/album/1olrz5rnUp5iYb1KEztPVU
61NPV53hdl13ljABTLGIfF,United,2009-06-05,8,https://open.spotify.com/album/61NPV53hdl13ljABTLGIfF
6IjQa4ZCnkSa9cnUvA3yJG,The Very Best Of,2004,17,https://open.spotify.com/album/6IjQa4ZCnkSa9cnUvA3yJG
1hMjJNZT1jhuWNotbgTRsB,Can‘t Stop Raving,1995-10-01,4,https://open.spotify.com/album/1hMjJNZT1jhuWNotbgTRsB
0e23ii86vcNFqLU6NsKc7a,Flying High,1994-11-11,6,https://open.spotify.com/album/0e23ii86vcNFqLU6NsKc7a
2aMWSTZkHdS6mR28WtpuxY,We See The Same Sun,1996-05-17,15,https://open.spotify.com/album/2aMWSTZkHdS6mR28WtpuxY
